検索条件,サービスの種類,,,,,,,,
,訪問リハビリテーション,,,,,,,,
テーブル名,home_rehabilitation,,,,,,,,
CSV番号,140,,,,,SQLserverでも使用,,SQLserver用,
div class,div id,table class,th abbr,th abbr,td,column_name,memo,型,長さ
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の名称,,次のtrの1番目のtd,name,事業所名称,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,(ふりがな),,1番目,name_furi,事業所ふりがな,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,法人等の種類,,1番目,company_type,法人の種類,NVARCHAR,25
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,名称,,次のtrの1番目のtd,company,法人名称,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の所在地,,1番目,postcode,郵便番号,NVARCHAR,7
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,市区町村コード,,1番目,municipality,市区町村コード,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（都道府県から番地まで）,,1番目,address_1,住所１,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（建物名・部屋番号等）,,1番目,address_2,住所２,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,電話番号,,1番目,tel,電話番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,FAX番号,,1番目,fax,FAX番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,ホームページ,,2番目,hp_address,ホームページ,NVARCHAR,30
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,介護保険事業所番号,,1番目,office_no,介護保険事業所番号,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,氏名,,1番目,manager_name,事業所の管理者の氏名,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業の開始（予定）年月日,,1番目,founding_day,事業の開始（予定）年月日,NVARCHAR,8
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所の営業時間,-,-,-,-,-,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,平日,1番目,office_time_week,営業時間（平日）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,土曜,1番目,office_time_sat,営業時間（土曜）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,日曜,1番目,office_time_sun,営業時間（日曜）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,祝日,1番目,office_time_hol,営業時間（祝日）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,定休日,1番目,office_time_reghol,営業時間（定休日）,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,留意事項,1番目,office_time_memo,営業時間（留意事項）,NVARCHAR,200
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,訪問リハビリテーションを利用できる時間,-,-,-,-,-,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,平日,1番目,service_time_week,サービス利用時間（平日）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,土曜,1番目,service_time_sat,サービス利用時間（土曜）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,日曜,1番目,service_time_sun,サービス利用時間（日曜）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,祝日,1番目,service_time_hol,サービス利用時間（祝日）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,留意事項,1番目,service_time_memo,サービス利用時間（留意事項）,NVARCHAR,200
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所が通常時に介護サービスを提供する地域,,次のtrの1番目のtd,service_area,事業所が通常時に介護サービスを提供する地域,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,短期集中リハビリテーションの実施,,1番目のalt,tankirehabili,短期集中リハビリテーション実施加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,訪問介護事業所との連携（訪問介護計画作成に当たっての助言、指導等）,,1番目のalt,houmonkangorenkei,訪問介護事業所連携加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算,,1番目のalt,service_supply,サービス提供体制強化加算,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,,次のtrの1番目のtd,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況,,次のtrの1番目のtd,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）,TEXT,
