検索条件,サービスの種類,,,,,,,,
,短期入所療養介護（介護老人保健施設）,,,,,,,,
テーブル名,short_nursing_health,,,,,,,,
CSV番号,220,,,,,SQLserverでも使用,,SQLserver用,
div class,div id,table class,th abbr,th abbr,td,column_name,memo,型,長さ
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の名称,,次のtrの1番目のtd,name,事業所名称,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,(ふりがな),,1番目,name_furi,事業所ふりがな,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,法人等の種類,,1番目,company_type,法人の種類,NVARCHAR,25
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,名称,,次のtrの1番目のtd,company,法人名称,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の所在地,,1番目,postcode,郵便番号,NVARCHAR,7
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,市区町村コード,,1番目,municipality,市区町村コード,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（都道府県から番地まで）,,1番目,address_1,住所１,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（建物名・部屋番号等）,,1番目,address_2,住所２,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,電話番号,,1番目,tel,電話番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,FAX番号,,1番目,fax,FAX番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,ホームページ,,2番目,hp_address,ホームページ,NVARCHAR,30
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,介護保険事業所番号,,1番目,office_no,介護保険事業所番号,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,氏名,,1番目,manager_name,事業所の管理者の氏名,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業の開始（予定）年月日,,1番目,founding_day,事業の開始（予定）年月日,NVARCHAR,8
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所の形態,,1番目,office_type_2,事業所の形態,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜勤職員配置加算,,1番目のalt,nightdutyhaichi,夜勤職員配置加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,リハビリテーション機能強化の実施,,1番目のalt,rehabilikyouka,リハビリテーション機能強化加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,個別リハビリテーションの実施,,1番目のalt,private_rehabili,個別リハビリテーション実施加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症ケアの実施（予防を除く）,,1番目のalt,sub_nintisyocare,認知症ケア加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症行動・心理症状緊急対策加算,,1番目のalt,nintisyoshinritaio,認知症行動・心理症状緊急対応加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急短期入所受入加算,,1番目のalt,kinkyutankiuke,緊急短期入所受入加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,若年性認知症利用者の受入,,1番目のalt,jyakunenseiriyo,若年性認知症利用者受入加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,重度療養管理加算（予防を除く）,,1番目のalt,sub_jyudoryoyo,重度療養管理加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,送迎実施,,1番目のalt,sougei_2,送迎加算,BIT,
