office_id,name,company_type,company,postcode,municipality,address_1,address_2,tel,fax,hp_address,office_no,manager_name,founding_day,traffic,home_helper_00,home_helper_01,home_helper_10,home_helper_11,clerk_00,clerk_01,clerk_10,clerk_11,otherwork_00,otherwork_01,otherwork_10,otherwork_11,l_care_worker_00,l_care_worker_01,l_care_worker_10,l_care_worker_11,l_practical_training_00,l_practical_training_01,l_practical_training_10,l_practical_training_11,l_care_basis_00,l_care_basis_01,l_care_basis_10,l_care_basis_11,l_home_helper1_00,l_home_helper1_01,l_home_helper1_10,l_home_helper1_11,l_home_helper2_00,l_home_helper2_01,l_home_helper2_10,l_home_helper2_11,l_home_helper_traning_00,l_home_helper_traning_01,l_home_helper_traning_10,l_home_helper_traning_11,office_time_week,office_time_sat,office_time_sun,office_time_hol,office_time_reghol,office_time_memo,service_time_week,service_time_sat,service_time_sun,service_time_hol,service_time_memo,service_area,sub_tokuteijigyosyo_1,sub_tokuteijigyosyo_2,sub_tokuteijigyosyo_3,sub_emergency_homecare,seikatsukinoukoujyourenkei,care_staff_improved_1,care_staff_improved_2,care_staff_improved_3,jyoukoukaigo,area_outside_price,cancel_price,user_charge_cut
0,ホスピカケアセンター南,営利法人,株式会社ホスピカ,〒815-0082,福岡市南区,福岡県福岡市南区大楠２丁目１２番２４号,シルクハット平尾201号,092-521-2953,092-521-2957,データーなし,4071100541,小保方　千恵,1999/11/1※半角で記入してください（例：2013/04/01）,西鉄バス　日赤前下車　徒歩５分　　西鉄電車　平尾駅下車　徒歩5分,3人,1人,32人,0人,0人,0人,1人,0人,0人,0人,0人,0人,3人,2人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,時分～時分,時分～時分,時分～時分,土・日・祝祭日・年末年始１２月３０日～１月３日は休業,時間外は、転送による留守番電話対応となります。,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,,南区、中央区（離島を除く）、城南区、博多区、早良区、大野城市、春日市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,サービス提供地域を越えた地点から利用者の居宅までの往復距離　公共交通機関（実費）、自動車（１６円／km）,⒈①サービス利用日の前営業日の17時までの連絡・・無料　②サービス利用日の前営業日の17時以降の連絡・・基本料金の1割⒉救急車・主治医等がかかわる緊急対応が生じた場合はキャンセル料を頂きません。⒊上記(2)について、お客様の都合によるキャンセルが頻繁におこる場合については、　キャンセル料を協議の上変更します。,データーなし
1,ヘルパーステーション　さくらの樹,営利法人,株式会社　サンワードケア,〒810-0041,福岡市中央区,大名1丁目12番36号,ニューアイランド大名602号,092-984-1430,092-984-1394,データーなし,4071002531,小田原　弘子,2013/10/01※半角で記入してください（例：2013/04/01）,福岡市営地下鉄赤坂駅徒歩5分西鉄バス大名2丁目徒歩5分,3人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,08時30分～17時30分,時分～時分,時分～時分,時分～時分,なし,土、日、祝日は事務所は閉鎖しているが、電話転送により対応する。,8時30分～17時30分,時分～時分,時分～時分,,緊急な依頼や、時間外対応も受け付けます。24時間対応が可能です。,事務所所在地より半径4キロメートル,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,エリア外の交通費は公共交通機関を利用した金額とする。,前日までに連絡ありはなし。当日連絡は1500円,データーなし
2,グッドタイム南天神ヘルパーステーション,その他,株式会社　日本グッドケアサービス,〒810-0005,福岡市中央区,福岡県福岡市中央区清川１丁目３番１号,,092-526-8730,092-526-8740,データーなし,4071001079,濱　寿紀,2003/12/01※半角で記入してください（例：2013/04/01）,JR博多駅　⇒　西鉄バス「 柳橋 」バス停下車　徒歩１分（距離：約３０ｍ）,8人,1人,16人,0人,0人,0人,0人,0人,0人,0人,0人,0人,5人,3人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,3人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,1月1日（元日）のみ,事業所の営業時間・訪問可能時間以外の時間帯でのサービス利用をご希望の場合は、お手数ですが直接お問合せ下さい。,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,,上記以外の時間帯でサービス利用を希望される場合は、お手数ですが直接お問合せ下さい。また、早朝・（6:00～8:00）・夜間（18:00～22:00）25％、深夜（22:00～6:00）50％の割増料金が加算されます。※割増料金は、介護保険の支給限度額の範囲内であれば、介護保険給付の対象となります。,福岡市中央区・博多区・城南区・西区、春日市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,(1)通常の事業の実施地域を越える地点から、片道おおむね１０km未満の場合　　３００円　　　　　　　　　　　　　　　　　(2)通常の事業の実施地域を越える地点から、片道おおむね１０km以上の場合　　５００円,,データーなし
3,アップルハート野間ケアセンター,営利法人,麻生介護サービス株式会社,〒815-0073,福岡市南区,福岡県福岡市南区大池1-23-15高崎ビル1階2号室,,092-554-5611,092-552-2378,データーなし,4071102620,江嵜　久子,2007/12/01※半角で記入してください（例：2013/04/01）,西鉄バス　野間大池バス停より寺塚方面へ徒歩５分,5人,2人,19人,0人,0人,1人,0人,0人,0人,0人,0人,0人,3人,3人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,0人,1人,0人,0人,0人,0人,0人,9時00分～18時00分,0時分～0時分,0時分～0時分,0時分～0時分,土日・祝日・12月29日～1月3日,,00時00分～24時00分,00時00分～24時00分,00時00分～24時00分,,２４時間、３６５日,福岡市南区・福岡市城南区・福岡市中央区・福岡市博多区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,当事業所と利用者宅までの標準的な訪問経路の区間の内、サービス提供地域以外の区間での公共交通機関利用実費とする。なお、自動車を使用した場合の交通費は、当事業所と利用者宅までの標準的な訪問経路の区間の内、サービス提供地域以外の区間を[10円／km]として計算し、これを燃料代として受領する。,サービス利用料の１割,データーなし
4,ヘルパーステーション　ミナミ,生協,福岡県高齢者福祉生活協同組合,〒811-1365,福岡市南区,福岡市南区皿山3丁目6番20号,,092-552-6366,092-552-6376,データーなし,4071100582,矢野　昌子,2001/01/01※半角で記入してください（例：2013/04/01）,西鉄バス天神発51番系統皿山3丁目下車300ｍ,3人,0人,27人,0人,0人,1人,0人,0人,0人,0人,0人,0人,3人,3人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～17時30分,9時00分～17時30分,9時00分～17時30分,9時00分～17時30分,(1)年末年始12月31日～1月3日,,8時00分～20時00分,8時00分～20時00分,8時00分～20時00分,,,福岡市南区、城南区、,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,実費とする。（公共交通機関の金額）,利用者宅に到着してからのキャンセルは￥1000円、（徴収は月末締めの翌月25日迄の支払い。）,データーなし
5,ツクイ福岡,営利法人,株式会社　ツクイ,〒815-0033,福岡市南区,福岡県福岡市南区大橋4-16-18ハウストンコート203,,092-554-9511,092-554-9512,データーなし,4071100319,谷内　美和子,2000/02/01※半角で記入してください（例：2013/04/01）,西鉄大牟田線大橋駅より徒歩１０分,2人,0人,16人,2人,0人,0人,1人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,なし,,0時00分～23時59分,0時00分～23時59分,0時00分～23時59分,,,福岡市（南区・博多区・城南区・中央区）、春日市、大野城市、那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,いただいておりません。,,データーなし
6,介護24　福岡中央,営利法人,介護24合同会社,〒814-0123,福岡市城南区,福岡県福岡市城南区長尾三丁目９-７-２F,,092-555-5024,092-555-5124,データーなし,4071301149,石川哲也,2010/08/01※半角で記入してください（例：2013/04/01）,西鉄バス「長尾5丁目」バス停より徒歩1分,3人,0人,5人,5人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,時分～時分,時分～時分,日曜・祭日,,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,0：00～24：00まで24時間サービス対応。,福岡市、糟屋郡、福津市、宗像市、糸島市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,通常の事業の実施地域を越えて行う指定訪問介護の際、交通費は、その実費を徴収致します。自動車を使用した場合の交通費は、登録訪問介護員の居住拠点より算出するものと致します。尚、その費用の支払いを受ける場合には、ご利用者様又はその家族に対して事前に了承を取り、その支払いに同意する旨の契約書に署名及び捺印を受けることとする。,当社規定によるものとします。,データーなし
7,ケアステーションつばさ,営利法人,ライフパートナー株式会社,〒819-0006,福岡市西区,福岡県福岡市西区姪浜駅南１丁目４番１１－１０１号,,092-884-3000,092-884-3002,データーなし,4071202404,北 口,2011/07/01※半角で記入してください（例：2013/04/01）,地下鉄姪浜駅南口から徒歩２分,2人,1人,6人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,2人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,時分～時分,時分～時分,日曜日、８月１３日～８月１５日、１２月３１日～１月３日,転送電話により２４時間３６５日連絡がとれる体制を取っております。,8時00分～20時00分,8時00分～20時00分,時分～時分,,転送電話により２４時間３６５日連絡がとれる体制を取っております。,福岡市・糸島市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,自動車を使用した場合の交通費（１）事業所の通常の事業実施区域の堺から片道１０キロメートル未満  　　０円（２）事業所の通常の事業実施区域の堺から片道１０キロメートル以上  １００円但し、実際には頂いておりません。,利用日の２日前までに連絡があった場合	無 料利用日の前日に連絡があった場合	利用料自己負担部分の５０％利用日の前日までに連絡がなかった場合	利用料自己負担部分の１００％,データーなし
8,(有)フロイデへルパーステーション香椎川,その他法人,(有)フロイデへルパーステーション香椎川,〒813-0013,福岡市東区,福岡市東区香椎駅前2丁目４－９,,092-672-7253,092-672-7284,データーなし,4070802196,松本　ひとみ,2006/09/01※半角で記入してください（例：2013/04/01）,西鉄香椎駅より徒歩5分,2人,0人,6人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,8時30分～12時30分,0時分～0時分,0時分～0時分,日曜,,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,24時間・３６５日必要な時に介護サービスの提供ができる様に努めます。,福岡市東区・糟屋郡新宮町の一部,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,公共交通機関＝実費・自動車＝1キロあたり５０円,ご利用日当日３時間前までにご連絡を頂いた場合＝無料・ご利用日当日３時間までにご連絡を頂けなかった場合＝一律1000円　　　ただしご利用者様の容態の急変などやむを得ない場合はキャンセル料は頂きません。,データーなし
9,福岡高齢者安心センター,営利法人,株式会社　福岡高齢者安心センター,〒812-0023,福岡市博多区,福岡県福岡市博多区奈良屋町１４－２０,ベスト大博ビル703号,092-282-1040,092-282-1041,データーなし,4070901246,大野　靖子,2003/02/01※半角で記入してください（例：2013/04/01）,福岡市営地下鉄　呉服町駅より　徒歩7分西鉄バス　蔵本バス停　徒歩3分,2人,1人,5人,1人,1人,0人,0人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,8時00分～20時00分,8時00分～20時00分,8時00分～20時00分,8時00分～20時00分,8/13～8/15　12/31～1/3を除くことができる,上記営業時間以外の連絡は転送電話にて対応致します。,6時00分～21時00分,6時00分～21時00分,6時00分～21時00分,,8/13～8/15　12/30～1/3を除くことができる。※利用者様の状況によりご相談に応じます。,主として福岡市博多区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,該当なし,サービスご利用前日午後6時以降のご連絡に対しては基本料金の30％を頂きます。,データーなし
