table_name,home_bath,訪問入浴介護,,,
NO,column_name,datatype,length,v_home_bathのカラム名,memo
1,office_id,int,,office_id,キー
2,from_office_time_week,NVARCHAR,4,office_time_weekの先頭４文字,営業時間（平日）の開始時間
3,to_office_time_week,NVARCHAR,4,office_time_weekの後ろ４文字,営業時間（平日）の終了時間
4,from_office_time_sat,NVARCHAR,4,office_time_satの先頭４文字,営業時間（土曜）の開始時間
5,to_office_time_sat,NVARCHAR,4,office_time_satの後ろ４文字,営業時間（土曜）の終了時間
6,from_office_time_sun,NVARCHAR,4,office_time_sunの先頭４文字,営業時間（日曜）の開始時間
7,to_office_time_sun,NVARCHAR,4,office_time_sunの後ろ４文字,営業時間（日曜）の終了時間
8,from_office_time_hol,NVARCHAR,4,office_time_holの先頭４文字,営業時間（祝日）の開始時間
9,to_office_time_hol,NVARCHAR,4,office_time_holの後ろ４文字,営業時間（祝日）の終了時間
10,office_time_reghol,NVARCHAR(MAX),,office_time_reghol,営業時間（定休日）
11,office_time_memo,NVARCHAR(MAX),,office_time_memo,営業時間（留意事項）
12,from_service_time_week,NVARCHAR,4,service_time_weekの先頭４文字,サービス利用時間（平日）の開始時間
13,to_service_time_week,NVARCHAR,4,service_time_weekの後ろ４文字,サービス利用時間（平日）の終了時間
14,from_service_time_sat,NVARCHAR,4,service_time_satの先頭４文字,サービス利用時間（土曜）の開始時間
15,to_service_time_sat,NVARCHAR,4,service_time_satの後ろ４文字,サービス利用時間（土曜）の終了時間
16,from_service_time_sun,NVARCHAR,4,service_time_sunの先頭４文字,サービス利用時間（日曜）の開始時間
17,to_service_time_sun,NVARCHAR,4,service_time_sunの後ろ４文字,サービス利用時間（日曜）の終了時間
18,from_service_time_hol,NVARCHAR,4,service_time_holの先頭４文字,サービス利用時間（祝日）の開始時間
19,to_service_time_hol,NVARCHAR,4,service_time_holの後ろ４文字,サービス利用時間（祝日）の終了時間
20,service_time_memo,NVARCHAR(MAX),,service_time_memo,サービス利用時間（留意事項）
21,service_area,NVARCHAR(MAX),,service_area,事業所が通常時に介護サービスを提供する地域
22,service_supply,BIT,,service_supply,サービス提供体制強化加算
23,carestaffkaizen_1,BIT,,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）
24,carestaffkaizen_2,BIT,,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）
25,carestaffkaizen_3,BIT,,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）
26,outarea_price,NVARCHAR(MAX),,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法
27,specialbath_price,NVARCHAR(MAX),,specialbath_price,利用者の選定により、特別な浴槽水などを使用して訪問入浴介護を行う場合、それに要する費用の額及びその算定方法
28,cancel_price,NVARCHAR(MAX),,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）
