table_name,home_nurse,訪問看護,,,
NO,column_name,datatype,length,v_home_bathのカラム名,memo
1,office_id,int,,office_id,キー
2,shiteistation,BIT,,shiteistation,指定訪問看護ステーションの有無
3,shiteihomenurse,BIT,,shiteihomenurse,病院又は診療所である指定訪問看護事業所の有無
4,from_office_time_week,NVARCHAR,4,office_time_weekの先頭４文字,営業時間（平日）の開始時間
5,to_office_time_week,NVARCHAR,4,office_time_weekの後ろ４文字,営業時間（平日）の終了時間
6,from_office_time_sat,NVARCHAR,4,office_time_satの先頭４文字,営業時間（土曜）の開始時間
7,to_office_time_sat,NVARCHAR,4,office_time_satの後ろ４文字,営業時間（土曜）の終了時間
8,from_office_time_sun,NVARCHAR,4,office_time_sunの先頭４文字,営業時間（日曜）の開始時間
9,to_office_time_sun,NVARCHAR,4,office_time_sunの後ろ４文字,営業時間（日曜）の終了時間
10,from_office_time_hol,NVARCHAR,4,office_time_holの先頭４文字,営業時間（祝日）の開始時間
11,to_office_time_hol,NVARCHAR,4,office_time_holの後ろ４文字,営業時間（祝日）の終了時間
12,office_time_reghol,NVARCHAR(MAX),,office_time_reghol,営業時間（定休日）
13,office_time_memo,NVARCHAR(MAX),,office_time_memo,営業時間（留意事項）
14,from_service_time_week,NVARCHAR,4,service_time_weekの先頭４文字,サービス利用時間（平日）の開始時間
15,to_service_time_week,NVARCHAR,4,service_time_weekの後ろ４文字,サービス利用時間（平日）の終了時間
16,from_service_time_sat,NVARCHAR,4,service_time_satの先頭４文字,サービス利用時間（土曜）の開始時間
17,to_service_time_sat,NVARCHAR,4,service_time_satの後ろ４文字,サービス利用時間（土曜）の終了時間
18,from_service_time_sun,NVARCHAR,4,service_time_sunの先頭４文字,サービス利用時間（日曜）の開始時間
19,to_service_time_sun,NVARCHAR,4,service_time_sunの後ろ４文字,サービス利用時間（日曜）の終了時間
20,from_service_time_hol,NVARCHAR,4,service_time_holの先頭４文字,サービス利用時間（祝日）の開始時間
21,to_service_time_hol,NVARCHAR,4,service_time_holの後ろ４文字,サービス利用時間（祝日）の終了時間
22,service_time_memo,NVARCHAR(MAX),,service_time_memo,サービス利用時間（留意事項）
23,service_area,NVARCHAR(MAX),,service_area,事業所が通常時に介護サービスを提供する地域
24,kinkyujihoumon,BIT,,kinkyujihoumon,緊急時訪問看護加算
25,specialkanri_1,BIT,,specialkanri_1,特別管理加算（Ⅰ）
26,specialkanri_2,BIT,,specialkanri_2,特別管理加算（Ⅱ）
27,sub_terminalcare,BIT,,sub_terminalcare,ターミナルケア加算（予防を除く）
28,service_supply,BIT,,service_supply,サービス提供体制強化加算
29,taiinjikyoudousidou,BIT,,taiinjikyoudousidou,退院時共同指導加算
30,sub_kanngokaigorenkkei,BIT,,sub_kanngokaigorenkkei,看護・介護職員連携強化加算（予防を除く）
31,sub_teikizuijirenkei,BIT,,sub_teikizuijirenkei,定期巡回・随時対応型訪問介護看護事業所との連携（予防を除く）
32,tube_feeding,BIT,,tube_feeding,経管栄養法（胃ろうを含む）
33,ivh,BIT,,ivh,在宅中心静脈栄養法（ＩＶＨ）
34,iv_drip,BIT,,iv_drip,点滴・静脈注射
35,bladder_catheterization,BIT,,bladder_catheterization,膀胱留置カテーテル
36,nephrostomy,BIT,,nephrostomy,腎ろう・膀胱ろう
37,hot,BIT,,hot,在宅酸素療法（ＨＯＴ）
38,respirator,BIT,,respirator,人工呼吸療法（レスピレーター、ベンチレーター）
39,capd,BIT,,capd,在宅自己腹膜灌流（ＣＡＰＤ）
40,artificial_anus,BIT,,artificial_anus,人工肛門（ストマ）
41,artificial_bladder,BIT,,artificial_bladder,人工膀胱
42,tracheal_cannula,BIT,,tracheal_cannula,気管カニューレ
43,absorb,BIT,,absorb,吸引
44,drug_pain_control,BIT,,drug_pain_control,麻薬を用いた疼痛管理
45,medical_other_name,NVARCHAR,30,medical_other_name,その他（項目名）
46,medical_other,BIT,,medical_other,その他
47,outarea_price,NVARCHAR(MAX),,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法
48,cancel_price,NVARCHAR(MAX),,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）
