table_name,welfare_tool_rental,福祉用具貸与,,,
NO,column_name,datatype,length,v_home_bathのカラム名,memo
1,office_id,int,,office_id,キー
2,from_office_time_week,NVARCHAR,4,office_time_weekの先頭４文字,営業時間（平日）の開始時間
3,to_office_time_week,NVARCHAR,4,office_time_weekの後ろ４文字,営業時間（平日）の終了時間
4,from_office_time_sat,NVARCHAR,4,office_time_satの先頭４文字,営業時間（土曜）の開始時間
5,to_office_time_sat,NVARCHAR,4,office_time_satの後ろ４文字,営業時間（土曜）の終了時間
6,from_office_time_sun,NVARCHAR,4,office_time_sunの先頭４文字,営業時間（日曜）の開始時間
7,to_office_time_sun,NVARCHAR,4,office_time_sunの後ろ４文字,営業時間（日曜）の終了時間
8,from_office_time_hol,NVARCHAR,4,office_time_holの先頭４文字,営業時間（祝日）の開始時間
9,to_office_time_hol,NVARCHAR,4,office_time_holの後ろ４文字,営業時間（祝日）の終了時間
10,office_time_reghol,NVARCHAR(MAX),,office_time_reghol,営業時間（定休日）
11,office_time_memo,NVARCHAR(MAX),,office_time_memo,営業時間（留意事項）
12,service_area,NVARCHAR(MAX),,service_area,事業所が通常時に介護サービスを提供する地域
13,wheelchair,BIT,,wheelchair,車いす
14,wheelchair_price_from,INT,,wheelchair_price_from,車いす最低額
15,wheelchair_price_to,INT,,wheelchair_price_to,車いす最高額
16,specialbed,BIT,,specialbed,特殊寝台
17,specialbed_price_from,INT,,specialbed_price_from,特殊寝台最低額
18,specialbed_price_to,INT,,specialbed_price_to,特殊寝台最高額
19,bedsore,BIT,,bedsore,床ずれ防止用具
20,bedsore_price_from,INT,,bedsore_price_from,床ずれ防止用具最低額
21,bedsore_price_to,INT,,bedsore_price_to,床ずれ防止用具最高額
22,phyconverter,BIT,,phyconverter,体位変換器
23,phyconverter_price_from,INT,,phyconverter_price_from,体位変換器最低額
24,phyconverter_price_to,INT,,phyconverter_price_to,体位変換器最高額
25,handrail,BIT,,handrail,手すり
26,handrail_price_from,INT,,handrail_price_from,手すり最低額
27,handrail_price_to,INT,,handrail_price_to,手すり最高額
28,slope,BIT,,slope,スロープ
29,slope_price_from,INT,,slope_price_from,スロープ最低額
30,slope_price_to,INT,,slope_price_to,スロープ最高額
31,walker,BIT,,walker,歩行器
32,walker_price_from,INT,,walker_price_from,歩行器最低額
33,walker_price_to,INT,,walker_price_to,歩行器最高額
34,walkstick,BIT,,walkstick,歩行補助つえ
35,walkstick_price_from,INT,,walkstick_price_from,歩行補助つえ最低額
36,walkstick_price_to,INT,,walkstick_price_to,歩行補助つえ最高額
37,dementialoiter,BIT,,dementialoiter,認知症老人徘徊感知機器
38,dementialoiter_price_from,INT,,dementialoiter_price_from,認知症老人徘徊感知機器最低額
39,dementialoiter_price_to,INT,,dementialoiter_price_to,認知症老人徘徊感知機器最高額
40,lift,BIT,,lift,移動用リフト
41,lift_price_from,INT,,lift_price_from,移動用リフト最低額
42,lift_price_to,INT,,lift_price_to,移動用リフト最高額
43,autoexcretion,BIT,,autoexcretion,自動排泄処理装置
44,autoexcretion_price_from,INT,,autoexcretion_price_from,自動排泄処理装置最低額
45,autoexcretion_price_to,INT,,autoexcretion_price_to,自動排泄処理装置最高額
46,outarea_price,NVARCHAR(MAX),,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法
47,welfaretoolcarry_price,NVARCHAR(MAX),,welfaretoolcarry_price,福祉用具の搬入に特別な措置が必要な場合、それに要する費用の額及びその算定方法
48,cancel_price,NVARCHAR(MAX),,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）
