table_name,dementia_communal_lifecare,認知症対応型共同生活介護,,,
NO,column_name,datatype,length,v_home_bathのカラム名,memo
1,office_id,int,,office_id,キー
2,night_care_1,BIT,,night_care_1,夜間ケア加算（Ⅰ）
3,night_care_2,BIT,,night_care_2,夜間ケア加算（Ⅱ）
4,nintisyoshinritaio,BIT,,nintisyoshinritaio,認知症行動・心理症状緊急対応加算
5,jyakunenseiriyo,BIT,,jyakunenseiriyo,若年性認知症利用者受入加算
6,sub_caregiving,BIT,,sub_caregiving,看取り介護加算（予防を除く）
7,sub_medicalrenkeitaisei,BIT,,sub_medicalrenkeitaisei,医療連携体制加算（予防を除く）
8,taikyojisoudan,BIT,,taikyojisoudan,退居時相談援助加算
9,nintisyosenmon_1,BIT,,nintisyosenmon_1,認知症専門ケア加算（Ⅰ）
10,nintisyosenmon_2,BIT,,nintisyosenmon_2,認知症専門ケア加算（Ⅱ）
11,service_supply_1,BIT,,service_supply_1,サービス提供体制強化加算（Ⅰ）
12,service_supply_2,BIT,,service_supply_2,サービス提供体制強化加算（Ⅱ）
13,service_supply_3,BIT,,service_supply_3,サービス提供体制強化加算（Ⅲ）
14,carestaffkaizen_1,BIT,,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）
15,carestaffkaizen_2,BIT,,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）
16,carestaffkaizen_3,BIT,,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）
17,shortuse_communal_lifecare,BIT,,shortuse_communal_lifecare,短期利用共同生活介護の提供
18,share_dementia_daycare,BIT,,share_dementia_daycare,共用型指定認知症対応型通所介護の提供
19,movein_capacity,NVARCHAR,20,movein_capacity,入居定員
20,rent,INT,,rent,家賃（月額）
21,deposit,INT,,deposit,敷金
22,security_money,INT,,security_money,保証金（入居時一時金）
23,morning_price,INT,,morning_price,朝食
24,lunch_price,INT,,lunch_price,昼食
25,dinner_price,INT,,dinner_price,夕食
26,snack_price,INT,,snack_price,おやつ
27,meal_day_price,INT,,meal_day_price,食費(1日分)
28,hairdressing_price_2,INT,,hairdressing_price_2,理美容代
29,hairdressing_biko_2,NVARCHAR(MAX),,hairdressing_biko_2,理美容代算定方法
30,diaper_price,INT,,diaper_price,おむつ代
31,diaper_biko,NVARCHAR(MAX),,diaper_biko,おむつ代算定方法
32,other_name_3,NVARCHAR,20,other_name_3,３名称
33,other_price_3,INT,,other_price_3,３その額
34,other_biko_3,NVARCHAR(MAX),,other_biko_3,３算定方法
35,other_name_4,NVARCHAR,20,other_name_4,４名称
36,other_price_4,INT,,other_price_4,４その額
37,other_biko_4,NVARCHAR(MAX),,other_biko_4,４算定方法
38,other_name_5,NVARCHAR,20,other_name_5,５名称
39,other_price_5,INT,,other_price_5,５その額
40,other_biko_5,NVARCHAR(MAX),,other_biko_5,５算定方法
