table_name,specified_welfare_tool_sale,特定福祉用具販売,,,
NO,column_name,datatype,length,v_home_bathのカラム名,memo
1,office_id,int,,office_id,キー
2,from_office_time_week,NVARCHAR,4,office_time_weekの先頭４文字,営業時間（平日）の開始時間
3,to_office_time_week,NVARCHAR,4,office_time_weekの後ろ４文字,営業時間（平日）の終了時間
4,from_office_time_sat,NVARCHAR,4,office_time_satの先頭４文字,営業時間（土曜）の開始時間
5,to_office_time_sat,NVARCHAR,4,office_time_satの後ろ４文字,営業時間（土曜）の終了時間
6,from_office_time_sun,NVARCHAR,4,office_time_sunの先頭４文字,営業時間（日曜）の開始時間
7,to_office_time_sun,NVARCHAR,4,office_time_sunの後ろ４文字,営業時間（日曜）の終了時間
8,from_office_time_hol,NVARCHAR,4,office_time_holの先頭４文字,営業時間（祝日）の開始時間
9,to_office_time_hol,NVARCHAR,4,office_time_holの後ろ４文字,営業時間（祝日）の終了時間
10,office_time_reghol,NVARCHAR(MAX),,office_time_reghol,営業時間（定休日）
11,office_time_memo,NVARCHAR(MAX),,office_time_memo,営業時間（留意事項）
12,service_area,NVARCHAR,20,service_area,事業所が通常時に介護サービスを提供する地域
13,chairtoilet,BIT,,chairtoilet,腰掛便座
14,chairtoilet_price_from,INT,,chairtoilet_price_from,腰掛便座最低額
15,chairtoilet_price_to,INT,,chairtoilet_price_to,腰掛便座最高額
16,autoexcretionparts,BIT,,autoexcretionparts,自動排泄処理装置の交換可能部品
17,autoexcretionparts_price_from,INT,,autoexcretionparts_price_from,自動排泄処理装置の交換可能部分最低額
18,autoexcretionparts_price_to,INT,,autoexcretionparts_price_to,自動排泄処理装置の交換可能部分最高額
19,bathchair,BIT,,bathchair,入浴用いす
20,bathchair_price_from,INT,,bathchair_price_from,入浴用いす最低額
21,bathchair_price_to,INT,,bathchair_price_to,入浴用いす最高額
22,bathtubhandrail,BIT,,bathtubhandrail,浴槽用手すり
23,bathtubhandrail_price_from,INT,,bathtubhandrail_price_from,浴槽用手すり最低額
24,bathtubhandrail_price_to,INT,,bathtubhandrail_price_to,浴槽用手すり最高額
25,bathtubchair,BIT,,bathtubchair,浴槽内いす
26,bathtubchair_price_from,INT,,bathtubchair_price_from,浴槽内いす最低額
27,bathtubchair_price_to,INT,,bathtubchair_price_to,浴槽内いす最高額
28,bathstand,BIT,,bathstand,入浴台
29,bathstand_price_from,INT,,bathstand_price_from,入浴代最低額
30,bathstand_price_to,INT,,bathstand_price_to,入浴代最高額
31,bathroomsunoko,BIT,,bathroomsunoko,浴室内すのこ
32,bathroomsunoko_price_from,INT,,bathroomsunoko_price_from,浴室内すのこ最低額
33,bathroomsunoko_price_to,INT,,bathroomsunoko_price_to,浴室内すのこ最低額
34,bathtubsunoko,BIT,,bathtubsunoko,浴槽内すのこ
35,bathtubsunoko_price_from,INT,,bathtubsunoko_price_from,浴槽内すのこ最低額
36,bathtubsunoko_price_to,INT,,bathtubsunoko_price_to,浴槽内すのこ最高額
37,bathassistbelt,BIT,,bathassistbelt,入浴用介助ベルト
38,bathassistbelt_price_from,INT,,bathassistbelt_price_from,入浴用介助ベルト最低額
39,bathassistbelt_price_to,INT,,bathassistbelt_price_to,入浴用介助ベルト最高額
40,simplebath,BIT,,simplebath,簡易浴槽
41,simplebath_price_from,INT,,simplebath_price_from,簡易浴槽最低額
42,simplebath_price_to,INT,,simplebath_price_to,簡易浴槽最高額
43,liftsling,BIT,,liftsling,移動用リフトのつり具の部分
44,liftsling_price_from,INT,,liftsling_price_from,移動用リフトのつり具の部分最低額
45,liftsling_price_to,INT,,liftsling_price_to,移動用リフトのつり具の部分最高額
46,outarea_price,NVARCHAR(MAX),,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法
47,welfaretoolcarry_price,NVARCHAR(MAX),,welfaretoolcarry_price,福祉用具の搬入に特別な措置が必要な場合、それに要する費用の額及びその算定方法
