table_name,routine_home,定期巡回・随時対応型訪問介護看護,,,,
NO,column_name,datatype,length,v_home_careのカラム名,titile,memo
1,office_id,int,,,,
2,office_type,NVARCHAR,30,office_type,事業所の形態,時分省いて4桁数字文字列
3,service_area,NVARCHAR(MAX),,service_area,事業所が通常時に介護サービスを提供する地域,時分省いて4桁数字文字列
4,service_supply_1,BIT,,service_supply_1,サービス提供体制強化加算（Ⅰ）,時分省いて4桁数字文字列
5,service_supply_2,BIT,,service_supply_2,サービス提供体制強化加算（Ⅱ）,時分省いて4桁数字文字列
6,service_supply_3,BIT,,service_supply_3,サービス提供体制強化加算（Ⅲ）,
7,carestaffkaizen_1,BIT,,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,あり→1　なし→0　対象なし→NULL
8,carestaffkaizen_2,BIT,,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,あり→1　なし→0　対象なし→NULL
9,carestaffkaizen_3,BIT,,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,あり→1　なし→0　対象なし→NULL
10,kinkyujihoumon,BIT,,kinkyujihoumon,緊急時訪問看護加算,あり→1　なし→0　対象なし→NULL
11,specialkanri_1,BIT,,specialkanri_1,特別管理加算（Ⅰ）,あり→1　なし→0　対象なし→NULL
12,specialkanri_2,BIT,,specialkanri_2,特別管理加算（Ⅱ）,あり→1　なし→0　対象なし→NULL
13,terminalcare,BIT,,terminalcare,ターミナルケア加算,あり→1　なし→0　対象なし→NULL
14,taiinjikyoudousidou,BIT,,taiinjikyoudousidou,退院時共同指導加算,あり→1　なし→0　対象なし→NULL
15,tube_feeding,BIT,,tube_feeding,経管栄養法（胃ろうを含む）,あり→1　なし→0　対象なし→NULL
16,ivh,BIT,,ivh,在宅中心静脈栄養法（ＩＶＨ）,
17,iv_drip,BIT,,iv_drip,点滴・静脈注射,
18,bladder_catheterization,BIT,,bladder_catheterization,膀胱留置カテーテル,あり→1　なし→0　対象なし→NULL
19,nephrostomy,BIT,,nephrostomy,腎ろう・膀胱ろう,
20,hot,BIT,,hot,在宅酸素療法（ＨＯＴ）,
21,respirator,BIT,,respirator,人工呼吸療法（レスピレーター、ベンチレーター）,
22,capd,BIT,,capd,在宅自己腹膜灌流（ＣＡＰＤ）,
23,artificial_anus,BIT,,artificial_anus,人工肛門（ストマ）,
24,artificial_bladder,BIT,,artificial_bladder,人工膀胱,
25,tracheal_cannula,BIT,,tracheal_cannula,気管カニューレ,
26,absorb,BIT,,absorb,吸引,
27,drug_pain_control,BIT,,drug_pain_control,麻薬を用いた疼痛管理,
28,medical_other_name,NVARCHAR,30,medical_other_name,その他（項目名）,
29,medical_other,BIT,,medical_other,その他,
30,outarea_price,NVARCHAR(MAX),,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,
31,operator_price,NVARCHAR(MAX),,operator_price,オペレーターから利用者宅への連絡に必要な通話料の請求の有無及びその算定方法（その額、算定方法等）,
32,userchargecut,BIT,,userchargecut,社会福祉法人等による利用者負担軽減制度の実施の有無,
