検索条件,サービスの種類,,,,,,,,
,短期入所生活介護,,http://www.kaigokensaku.jp/40/index.php?action_kouhyou_detail_2014_025_kani=true&JigyosyoCd=4071200275-00&PrefCd=40&VersionCd=025,,,,,,
テーブル名,short_life,,,,,,,,
CSV番号,210,,,,,SQLserverでも使用,,SQLserver用,
div class,div id,table class,th abbr,th abbr,td,column_name,memo,型,長さ
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の名称,,次のtrの1番目のtd,name,事業所名称,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,(ふりがな),,1番目,name_furi,事業所ふりがな,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,法人等の種類,,1番目,company_type,法人の種類,NVARCHAR,25
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,名称,,次のtrの1番目のtd,company,法人名称,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の所在地,,1番目,postcode,郵便番号,NVARCHAR,7
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,市区町村コード,,1番目,municipality,市区町村コード,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（都道府県から番地まで）,,1番目,address_1,住所１,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（建物名部屋番号等）,,1番目,address_2,住所２,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,電話番号,,1番目,tel,電話番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,FAX番号,,1番目,fax,FAX番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,ホームページ,,2番目,hp_address,ホームページ,NVARCHAR,70
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,介護保険事業所番号,,1番目,office_no,介護保険事業所番号,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,氏名,,1番目,manager_name,事業所の管理者の氏名,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業の開始（予定）年月日,,1番目,founding_day,事業の開始（予定）年月日,NVARCHAR,8
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の形態,,1番目,office_type,事業所の形態,NVARCHAR,30
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,専従の機能訓練指導員の配置（予防を除く）,,1番目のalt,sub_kinoukunrenshidoin,機能訓練指導員配置加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,機能訓練体制（予防のみ）,,1番目のalt,kinoukunrentaisei_yobo,機能訓練体制（予防のみ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,看護体制加算（Ⅰ）（予防を除く）,,1番目のalt,sub_kangotaisei_1,看護体制加算（Ⅰ）（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,看護体制加算（Ⅱ）（予防を除く）,,1番目のalt,sub_kangotaisei_2,看護体制加算（Ⅱ）（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜勤職員配置加算（予防を除く）,,1番目のalt,sub_nightdutyhaichi,夜勤職員配置加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症行動・心理症状緊急対応加算,,1番目のalt,nintisyoshinritaio,認知症行動・心理症状緊急対応加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,若年性認知症利用者の受入,,1番目のalt,jyakunenseiriyo,若年性認知症利用者受入加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,送迎実施,,1番目のalt,sougei_2,送迎加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急短期入所体制確保加算（予防を除く）,,1番目のalt,sub_kinkyutankitaisei,緊急短期入所体制確保加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急短期入所受入加算（予防を除く）,,1番目のalt,sub_kinkyutankiuke,緊急短期入所受入加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,療養食の実施,,1番目のalt,medical_meal,療養食加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅中重度者受入加算（予防を除く）,,1番目のalt,sub_zaitakuuke,在宅中重度者受入加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅰ）,,1番目のalt,service_supply_1,サービス提供体制強化加算（Ⅰ）,BIT,
