検索条件,サービスの種類,,,,,,,,
,介護老人保健施設,,,,,,,,
テーブル名,care_health_facility,,,,,,,,
CSV番号,520,,,,,SQLserverでも使用,,SQLserver用,
div class,div id,table class,th abbr,th abbr,td,column_name,memo,型,長さ
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,施設の名称,,次のtrの1番目のtd,name,事業所名称,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,(ふりがな),,1番目,name_furi,事業所ふりがな,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,法人等の種類,,1番目,company_type,法人の種類,NVARCHAR,25
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,名称,,次のtrの1番目のtd,company,法人名称,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の所在地,,1番目,postcode,郵便番号,NVARCHAR,7
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,市区町村コード,,1番目,municipality,市区町村コード,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（都道府県から番地まで）,,1番目,address_1,住所１,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（建物名部屋番号等）,,1番目,address_2,住所２,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,電話番号,,1番目,tel,電話番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,FAX番号,,1番目,fax,FAX番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,ホームページ,,2番目,hp_address,ホームページ,NVARCHAR,70
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,介護保険事業所番号,,1番目,office_no,介護保険事業所番号,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,氏名,,1番目,manager_name,事業所の管理者の氏名,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業の開始（予定）年月日,,1番目,founding_day,事業の開始（予定）年月日,NVARCHAR,8
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,施設までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜勤職員配置加算,,1番目のalt,nightdutyhaichi,夜勤職員配置加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,短期集中リハビリテーションの実施,,1番目のalt,tankirehabili,短期集中リハビリテーション実施加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症短期集中リハビリテーションの実施,,1番目のalt,nintisyotankirehabili,認知症短期集中リハビリテーション実施加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症ケアの実施,,1番目のalt,nintisyocare,認知症ケア加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,若年性認知症入所者の受入,,1番目のalt,jyakunenseinyusyo,若年性認知症入所者受入加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅復帰・在宅療養支援機能加算,,1番目のalt,zaitakuhukkiryoyo,在宅復帰・在宅療養支援機能加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,看取り介護の実施,,1番目のalt,caregiving,看取り介護加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,療養体制維持加算,,1番目のalt,ryoyoiji_2,療養体制維持特別加算（療養型老健）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,入所前後訪問指導の実施,,1番目のalt,nyusyozengoshido,入所前後訪問指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退所前訪問指導の実施,,1番目のalt,taisyomaeshido,退所前訪問指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退所後訪問指導の実施,,1番目のalt,taisyogoshido,退所後訪問指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退所時指導の実施,,1番目のalt,taisyojishido,退所時指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退所時情報提供の実施,,1番目のalt,taisyojiinfo,退所時情報提供加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退所前連携の実施,,1番目のalt,taisyomaerenkei,退所前連携加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,老人訪問看護指示の実施,,1番目のalt,roujinkangoshiji,老人訪問看護指示加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,栄養マネジメントの実施,,1番目のalt,eiyomanage,栄養マネジメント加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,経管栄養の入所者に対する経口移行の実施,,1番目のalt,keikoikou,経口移行加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,誤嚥が認められる入所者に対する経口維持の実施,,1番目のalt,keikoiji,経口維持加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,口腔機能維持管理体制加算,,1番目のalt,koukutaisei,口腔機能維持管理体制加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,口腔機能維持管理加算,,1番目のalt,kouku,口腔機能維持管理加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,療養食の実施,,1番目のalt,medical_meal,療養食加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅復帰支援機能加算,,1番目のalt,zaitakuhukki,在宅復帰支援機能加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急時施設療養費,,1番目のalt,kinkyujiryoyo,緊急時施設療養費,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,所定疾患施設療養費,,1番目のalt,syoteishikkan,所定疾患施設療養費,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症専門ケア加算（Ⅰ）,,1番目のalt,nintisyosenmon_1,認知症専門ケア加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症専門ケア加算（Ⅱ）,,1番目のalt,nintisyosenmon_2,認知症専門ケア加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症行動・心理症状緊急対応加算,,1番目のalt,nintisyoshinritaio,認知症行動・心理症状緊急対応加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症情報提供加算,,1番目のalt,nintisyoinfo,認知症情報提供加算,BIT,
