検索条件,サービスの種類,,,,,,,,
,介護療養型医療施設,,,,,,,,
テーブル名,care_medical_facility,,,,,,,,
CSV番号,530,,,,,SQLserverでも使用,,SQLserver用,
div class,div id,table class,th abbr,th abbr,td,column_name,memo,型,長さ
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,施設の名称,,次のtrの1番目のtd,name,事業所名称,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,(ふりがな),,1番目,name_furi,事業所ふりがな,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,法人等の種類,,1番目,company_type,法人の種類,NVARCHAR,25
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,名称,,次のtrの1番目のtd,company,法人名称,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の所在地,,1番目,postcode,郵便番号,NVARCHAR,7
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,市区町村コード,,1番目,municipality,市区町村コード,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（都道府県から番地まで）,,1番目,address_1,住所１,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（建物名部屋番号等）,,1番目,address_2,住所２,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,電話番号,,1番目,tel,電話番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,FAX番号,,1番目,fax,FAX番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,ホームページ,,2番目,hp_address,ホームページ,NVARCHAR,70
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,介護保険事業所番号,,1番目,office_no,介護保険事業所番号,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,氏名,,1番目,manager_name,事業所の管理者の氏名,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業の開始（予定）年月日,,1番目,founding_day,事業の開始（予定）年月日,NVARCHAR,8
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,施設までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,区分,,1番目,office_kubun,区分,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜間勤務等看護加算（Ⅰ）（看護職員が１５：１以上）,,1番目のalt,nightkango_1,夜間勤務等看護加算(Ⅰ) (看護職員が１５：１以上),BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜間勤務等看護加算（Ⅱ）（看護職員が２０：１以上）,,1番目のalt,nightkango_2,夜間勤務等看護加算(Ⅱ) (看護職員が２０：１以上),BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜間勤務等看護加算（Ⅲ）（看護職員＋介護職員が１５：１以上）,,1番目のalt,nightkango_3,夜間勤務等看護加算(Ⅲ) (看護職員＋介護職員が１５：１以上),BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,夜間勤務等看護加算（Ⅳ）（看護職員＋介護職員が２０：１以上）,,1番目のalt,nightkango_4,夜間勤務等看護加算(Ⅳ) (看護職員＋介護職員が２０：１以上),BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,加算なし（看護職員＋介護職員が３０：１以上）,,1番目のalt,nothing_add,加算なし(看護職員＋介護職員が３０：１以上),BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,療養病床を有する診療所,,1番目のalt,ryoyobyousyo,療養病床を有する診療所,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,老人性認知症疾患療養病棟を有する病院,,1番目のalt,nintisyobyoto,老人性認知症疾患療養病棟を有する病院,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,若年性認知症患者の受入（注１）,,1番目のalt,jyakunenseikanjya,若年性認知症患者受入加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,外泊の実施,,1番目のalt,gaihaku,外泊の実施,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,試行的退院サービスの実施（注１）（注２）,,1番目のalt,shikotekitaiinn,試行的退院サービスの実施,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,他科受診の実施,,1番目のalt,takajyushin,他科受診の実施,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退院前訪問指導の実施,,1番目のalt,taiinmaeshido,退院前訪問指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退院後訪問指導の実施,,1番目のalt,taiingoshido,退院後訪問指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退院時指導の実施,,1番目のalt,taiinjishido,退院時指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退院時情報提供の実施,,1番目のalt,taiinjiinfo,退院時情報提供加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退院前連携の実施,,1番目のalt,taiinmaerenkei,退院前連携加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,老人訪問看護指示の実施,,1番目のalt,roujinkangoshiji,老人訪問看護指示加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,栄養マネジメントの実施,,1番目のalt,eiyomanage,栄養マネジメント加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,経管栄養の入所者に対する経口移行の実施,,1番目のalt,keikoikou,経口移行加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,誤嚥が認められる入所者に対する経口維持の実施,,1番目のalt,keikoiji,経口維持加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,口腔機能維持管理体制加算,,1番目のalt,koukutaisei,口腔機能維持管理体制加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,口腔機能維持管理加算,,1番目のalt,kouku,口腔機能維持管理加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,療養食の実施,,1番目のalt,medical_meal,療養食加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅復帰支援機能加算　,,1番目のalt,zaitakuhukki,在宅復帰支援機能加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特定診療費（短期集中リハビリテーションの実施）（注１）,,1番目のalt,tokuteishinryo,特定診療費,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症専門ケア加算（Ⅰ）（注１）,,1番目のalt,nintisyosenmon_1,認知症専門ケア加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症専門ケア加算（Ⅱ）（注１）,,1番目のalt,nintisyosenmon_2,認知症専門ケア加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症行動・心理症状緊急対応加算（注１）,,1番目のalt,nintisyoshinritaio,認知症行動・心理症状緊急対応加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅰ）,,1番目のalt,service_supply_1,サービス提供体制強化加算（Ⅰ）,BIT,
