検索条件,サービスの種類,,,,,,,,
,複合型サービス,,,,,,,,
テーブル名,mix_service,,,,,,,,
CSV番号,770,,,,,SQLserverでも使用,,SQLserver用,
div class,div id,table class,th abbr,th abbr,td,column_name,memo,型,長さ
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の名称,,次のtrの1番目のtd,name,事業所名称,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,(ふりがな),,1番目,name_furi,事業所ふりがな,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,法人等の種類,,1番目,company_type,法人の種類,NVARCHAR,25
jigyosho jigyoshoShosai shosai,tab-1,jigyosho-ichiran,名称,,次のtrの1番目のtd,company,法人名称,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所の所在地,,1番目,postcode,郵便番号,NVARCHAR,7
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,市区町村コード,,1番目,municipality,市区町村コード,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（都道府県から番地まで）,,1番目,address_1,住所１,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,（建物名・部屋番号等）,,1番目,address_2,住所２,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,電話番号,,1番目,tel,電話番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,FAX番号,,1番目,fax,FAX番号,NVARCHAR,11
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,ホームページ,,2番目,hp_address,ホームページ,NVARCHAR,70
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,介護保険事業所番号,,1番目,office_no,介護保険事業所番号,NVARCHAR,10
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,氏名,,1番目,manager_name,事業所の管理者の氏名,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業の開始（予定）年月日,,1番目,founding_day,事業の開始（予定）年月日,NVARCHAR,8
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所の営業時間,-,-,-,-,-,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所の営業時間,通いサービス,1番目,office_time_kayoi,営業時間（通いサービス）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所の営業時間,宿泊サービス,1番目,office_time_stay,営業時間（宿泊サービス）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所が通常時に介護サービスを提供する地域,,1番目,service_area,事業所が通常時に介護サービスを提供する地域,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,利用者の送迎の実施,,1番目のalt,sougei_1,利用者の送迎の実施,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症加算（Ⅰ）,,1番目のalt,nintisyo_1,認知症加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症加算（Ⅱ）,,1番目のalt,nintisyo_2,認知症加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業開始時支援加算,,1番目のalt,jigyokaishishien,事業開始時支援加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急時訪問看護加算,,1番目のalt,kinkyujihoumon,緊急時訪問看護加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特別管理加算（Ⅰ）,,1番目のalt,specialkanri_1,特別管理加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特別管理加算（Ⅱ）,,1番目のalt,specialkanri_2,特別管理加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,ターミナルケア加算,,1番目のalt,terminalcare,ターミナルケア加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅰ）,,1番目のalt,service_supply_1,サービス提供体制強化加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅱ）,,1番目のalt,service_supply_2,サービス提供体制強化加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅲ）,,1番目のalt,service_supply_3,サービス提供体制強化加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅰ）,,1番目のalt,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅱ）,,1番目のalt,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅲ）,,1番目のalt,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,経管栄養法（胃ろうを含む）,,1番目のalt,tube_feeding,経管栄養法（胃ろうを含む）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅中心静脈栄養法（ＩＶＨ）,,1番目のalt,ivh,在宅中心静脈栄養法（ＩＶＨ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,点滴・静脈注射,,1番目のalt,iv_drip,点滴・静脈注射,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,膀胱留置カテーテル,,1番目のalt,bladder_catheterization,膀胱留置カテーテル,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,腎ろう・膀胱ろう,,1番目のalt,nephrostomy,腎ろう・膀胱ろう,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅酸素療法（ＨＯＴ）,,1番目のalt,hot,在宅酸素療法（ＨＯＴ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,人工呼吸療法（レスピレーター、ベンチレーター）,,1番目のalt,respirator,人工呼吸療法（レスピレーター、ベンチレーター）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅自己腹膜灌流（ＣＡＰＤ）,,1番目のalt,capd,在宅自己腹膜灌流（ＣＡＰＤ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,人工肛門（ストマ）,,1番目のalt,artificial_anus,人工肛門（ストマ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,人工膀胱,,1番目のalt,artificial_bladder,人工膀胱,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,気管カニューレ,,1番目のalt,tracheal_cannula,気管カニューレ,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,吸引,,1番目のalt,absorb,吸引,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,麻薬を用いた疼痛管理,,1番目のalt,drug_pain_control,麻薬を用いた疼痛管理,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,その他,,1番目,medical_other_name,その他（項目名）,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,その他,,2番目のalt,medical_other,その他,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,朝食,,1番目,morning_price,朝食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,昼食,,1番目,lunch_price,昼食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,夕食,,1番目,dinner_price,夕食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,おやつ,,1番目,snack_price,おやつ,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,宿泊費,,2番目,stay_price,宿泊費,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①その他,,1番目,other_name_1,１名称,NVARCHAR,20
